# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
0.000000 -8.960082 1.467140 5.454019 0.803403 0.148382 -0.535800
0.010087 -8.229761 1.025309 5.500802 0.891192 0.130194 -0.571934
0.020199 -7.538424 0.508106 5.503401 1.000079 0.118068 -0.596912
0.030310 -7.151172 0.388552 5.144737 1.103145 0.120251 -0.580907
0.040437 -6.818499 0.271596 5.160332 1.209365 0.092120 -0.569994
0.050566 -6.506618 -0.016894 4.812064 1.296668 0.049923 -0.567084
0.060705 -6.394861 -0.204022 4.619738 1.371604 0.010636 -0.575572
0.070839 -6.327286 -0.440532 4.687312 1.438779 -0.044171 -0.598852
0.080974 -6.470232 -0.736819 4.596347 1.477581 -0.088793 -0.627226
0.091106 -6.628771 -1.040903 4.731495 1.521960 -0.110619 -0.636442
0.101232 -6.956246 -1.329393 4.648327 1.528266 -0.112559 -0.625529
0.111347 -7.117385 -1.422957 5.004391 1.546454 -0.136325 -0.602975
0.121565 -7.366890 -1.394368 5.191520 1.543544 -0.167608 -0.576784
0.131689 -7.855503 -1.381373 5.126544 1.532873 -0.166153 -0.538467
0.141818 -8.268746 -1.539913 5.360455 1.541846 -0.155240 -0.503061
0.151936 -8.663795 -1.360581 5.363054 1.528993 -0.105041 -0.483175
0.162055 -8.931493 -1.069492 5.617757 1.553729 -0.041503 -0.444374
0.172179 -9.040651 -0.955136 5.186322 1.565370 0.033190 -0.421335
0.182304 -8.926295 -0.648453 5.077163 1.619934 0.084360 -0.386171
0.192423 -8.583226 -0.385953 4.900431 1.682260 0.116856 -0.348097
0.202540 -8.736567 -0.300185 4.715901 1.729064 0.155173 -0.309053
0.212651 -8.736567 -0.222215 4.518376 1.788964 0.201492 -0.285044
0.222772 -8.632607 -0.110458 4.393624 1.868992 0.228653 -0.276314
0.232876 -8.744364 -0.061077 4.266273 1.904156 0.260179 -0.272919
0.242995 -8.458473 -0.167636 4.432609 1.994613 0.228411 -0.257156
0.253107 -8.448077 -0.149443 4.443005 2.063728 0.179909 -0.245030
0.263221 -8.653399 -0.292388 4.289664 2.105440 0.162205 -0.231207
