# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
0.000000 4.245480 1.986942 1.573700 0.553171 -0.985704 1.036528
0.010113 2.790036 1.311200 1.784219 0.460047 -1.485032 1.379922
0.020254 0.949938 1.831002 2.049318 0.289805 -1.746700 1.688638
0.030383 0.261200 2.644491 2.670481 0.228693 -1.799567 2.019906
0.040519 0.120854 3.182486 2.592511 0.230390 -1.706201 2.363786
0.050749 -0.097463 3.686694 2.566521 0.227238 -1.696258 2.674684
0.060882 -0.684839 4.172708 2.389788 0.160305 -1.763433 2.932229
0.071010 -1.825804 5.188921 1.994739 0.110348 -1.764161 3.175467
0.081133 -2.501546 6.186940 1.706249 0.090220 -1.729240 3.383056
0.091264 -2.800432 6.932855 1.285210 0.115441 -1.672492 3.601315
0.101403 -2.662684 7.309712 0.947339 0.157152 -1.644604 3.812056
0.111532 -2.296224 7.486444 0.778403 0.150847 -1.660367 3.993696
0.121661 -2.431373 8.214167 0.690037 0.128779 -1.746458 4.159088
0.131786 -2.587313 8.965280 0.760210 0.125626 -1.854617 4.307747
0.142008 -2.626298 9.526666 0.825185 0.156910 -1.923248 4.393353
0.152140 -2.719862 10.314165 0.783601 0.173643 -2.019767 4.462710
0.162272 -2.428774 10.974314 0.742017 0.207594 -2.200679 4.505877
0.172393 -2.122090 11.689041 0.921349 0.294413 -2.472775 4.521640
0.182513 -2.262437 12.232234 0.981126 0.345098 -2.821262 4.526976
0.192634 -2.304021 12.967753 1.500927 0.428521 -3.176055 4.509757
0.202755 -2.356001 14.087926 1.921967 0.549534 -3.519449 4.480656
0.212880 -2.511942 15.007975 2.561323 0.697707 -3.821374 4.467318
0.223013 -2.821224 15.434212 3.242263 0.822843 -4.101231 4.409601
0.233135 -3.122709 15.512183 4.159713 0.933912 -4.315852 4.344366
0.243281 -3.195481 15.262678 4.929020 1.023641 -4.525866 4.270885
0.253401 -3.130506 15.182109 5.804886 1.035524 -4.817121 4.170728
0.263522 -3.335827 15.371836 6.303895 1.085966 -5.071029 4.008489
0.273645 -3.824441 15.158717 7.135578 1.040132 -5.313296 3.805508
0.283764 -4.559961 15.088544 7.634588 0.938035 -5.475293 3.571243
0.293960 -5.609960 14.774064 7.871097 0.875225 -5.488873 3.298177
0.304098 -6.465034 14.376416 7.852904 0.763428 -5.402297 3.024383
0.314329 -6.987435 14.017753 7.314910 0.657693 -5.214837 2.737736
0.324458 -7.621593 13.238050 7.382484 0.557779 -5.026164 2.429263
0.334575 -8.325924 12.590897 7.813919 0.335882 -4.821243 2.062346
0.344696 -9.747582 11.574685 7.691766 0.173886 -4.498947 1.643046
0.354818 -10.711814 9.945106 7.187558 0.040020 -4.044726 1.181306
0.364945 -10.717012 8.811939 6.761321 -0.118824 -3.457124 0.678826
0.375072 -10.345354 8.520850 7.075801 -0.235714 -2.945185 0.176345
0.385201 -9.318745 8.242756 7.580008 -0.374430 -2.653931 -0.350145
0.395328 -7.678771 8.640404 7.299316 -0.414929 -2.544073 -0.850928
0.405467 -7.826914 9.142013 6.626172 -0.470221 -2.593060 -1.293994
0.415607 -8.151790 8.193375 7.878894 -0.542247 -2.626284 -1.662609
0.425738 -8.146592 7.728152 8.284340 -0.753716 -2.424758 -1.967445
0.435864 -3.224070 9.183597 7.754142 -0.973672 -1.978297 -2.084819
0.446001 5.859465 12.614288 3.954392 -0.872788 -0.994434 -1.817816
0.456270 11.743620 13.386194 -0.274195 -0.535941 -0.381853 -1.213723
0.466398 8.315528 12.284214 -3.663303 -0.278396 -0.638187 -1.052454
0.476553 0.232611 12.840402 -5.651544 -0.616940 -1.209055 -1.256648
0.486698 -9.635824 9.103027 2.860209 -1.275355 -1.387300 -1.457446
0.496840 -17.017009 10.360948 6.984836 -2.159062 -1.368870 -1.979085
0.506977 -11.592878 20.060448 0.871967 -1.688107 0.825119 -2.054991
0.517096 0.892759 14.158099 -0.913552 -0.834229 1.836629 -1.256163
0.527210 -0.843378 8.463671 -6.168747 -0.806098 1.309654 -1.133695
0.537356 -0.939542 5.999811 0.320978 -1.426681 0.714050 -1.181954
0.547469 0.198824 11.049685 0.908353 -1.497737 0.256918 -0.886335
0.557582 -0.217017 10.914536 -0.258601 -1.011019 0.019258 -0.748589
0.567714 0.422339 10.228398 -0.339171 -1.120391 -0.229072 -0.628546
0.577840 -1.324195 11.236814 1.789417 -1.109235 -0.306675 -0.516992
0.588014 -1.295606 10.540279 1.649071 -0.878851 -0.248958 -0.376578
0.598146 -0.736819 9.222582 1.901175 -0.817981 -0.158259 -0.245865
0.608285 -1.295606 9.843745 1.901175 -0.791062 -0.056162 -0.163897
0.618404 -0.684839 10.376542 1.859591 -0.698423 -0.004508 -0.076593
0.628517 -0.141646 10.418126 1.703650 -0.660834 0.044964 -0.048220
0.638654 0.248205 10.127037 1.963551 -0.548309 -0.024151 -0.034397
0.648798 0.388552 9.615032 1.597091 -0.501505 -0.150984 -0.048462
0.658963 0.183230 9.622829 1.524319 -0.480892 -0.249685 -0.033427
0.669090 0.123453 9.669611 1.396967 -0.433845 -0.334564 -0.006265
0.679234 -0.274195 9.615032 1.246225 -0.416627 -0.390341 0.033506
0.689398 -0.294987 9.698200 1.602289 -0.448880 -0.369000 0.082251
