# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
0.000000 0.661448 9.243374 5.435826 -0.082892 -0.153671 0.264057
0.010146 0.398948 9.347334 5.841272 -0.103505 -0.180832 0.211189
0.020296 0.133849 9.524067 6.010207 -0.043363 -0.191260 0.142802
0.030502 0.645854 9.524067 5.214911 0.093898 -0.175982 0.145227
0.040639 0.453527 9.329141 5.181124 0.113056 -0.336038 0.214100
0.050796 0.089666 9.191394 4.786074 0.125667 -0.257223 0.161475
0.061051 -0.131250 9.386319 5.045975 0.063584 -0.215268 0.190576
0.071190 0.035087 9.357730 5.077163 0.077165 -0.180832 0.191789
0.081328 0.172834 9.747582 5.469614 0.060917 -0.178164 0.210947
0.091461 0.287190 9.760577 5.989415 0.186537 -0.260618 0.254841
0.101596 0.479517 9.646220 6.054390 0.300032 -0.329006 0.290975
0.111736 0.679641 9.407112 4.786074 0.377635 -0.454868 0.289763
0.121872 0.217017 9.261567 4.671718 0.350231 -0.451716 0.318621
0.132010 -0.136448 9.615032 4.744490 0.263170 -0.408549 0.364941
0.142151 -0.048082 9.950304 5.058970 0.281116 -0.372657 0.382402
0.152280 0.178032 9.973695 5.129143 0.347564 -0.377023 0.461702
0.162412 0.250804 9.791765 5.373450 0.387820 -0.354469 0.512872
0.172593 0.664047 9.581245 5.308475 0.425894 -0.380418 0.525483
0.182713 0.596472 9.648819 5.162931 0.430744 -0.417037 0.558706
0.192843 0.827784 9.799562 4.739292 0.481429 -0.472087 0.580775
0.202973 0.588675 9.625428 4.320852 0.470759 -0.489547 0.565497
0.213091 0.419740 9.919116 4.497584 0.436565 -0.417764 0.569134
0.223216 1.272215 9.604636 4.149317 0.508833 -0.397636 0.636310
0.233333 1.248824 9.477285 4.565159 0.462271 -0.455838 0.614969
0.243453 0.978527 9.448696 4.510579 0.416194 -0.456081 0.577865
0.253571 1.186447 9.560453 4.027164 0.343926 -0.370232 0.572044
0.263690 1.552908 9.747582 4.494985 0.304639 -0.369990 0.545126
0.273822 1.409962 9.895725 4.510579 0.312885 -0.466024 0.556524
0.283953 1.402165 10.023077 4.250679 0.349019 -0.469904 0.570104
0.294082 1.350185 10.017879 4.131124 0.393640 -0.497550 0.586353
0.304196 1.059096 9.986690 4.445604 0.439717 -0.515011 0.611089
0.314313 1.277413 9.625428 4.185703 0.480944 -0.467721 0.618606
0.324551 1.960952 9.563052 4.458599 0.497435 -0.457051 0.595810
0.334719 2.394986 9.625428 4.643129 0.495252 -0.494398 0.565497
0.344852 2.353402 9.825552 4.713302 0.530174 -0.537322 0.531303
0.354987 2.270234 10.147829 5.123945 0.562912 -0.602072 0.532758
0.365119 2.007734 10.306368 4.630134 0.652156 -0.626323 0.464370
0.375242 1.727041 10.303769 4.435208 0.722242 -0.644511 0.438906
0.385370 1.664665 10.288175 3.928401 0.777776 -0.643784 0.422658
0.395494 1.612685 10.202408 4.063550 0.776564 -0.623170 0.418778
0.405622 1.836200 10.636443 4.676916 0.768319 -0.589462 0.421446
0.415763 2.207858 10.618249 4.552164 0.828704 -0.634083 0.411260
0.425905 2.519739 10.667631 4.443005 0.883026 -0.670945 0.386282
0.436050 2.595110 10.675428 4.494985 0.916007 -0.725510 0.313044
0.446256 1.971348 10.940527 4.975802 0.959659 -0.723812 0.279335
0.456392 2.317016 11.093868 5.074564 1.003553 -0.658577 0.227195
0.467001 2.348204 10.698819 5.454019 1.087462 -0.608862 0.154685
0.477149 3.868624 9.820354 5.051173 1.120443 -0.883141 0.223800
0.487284 4.263674 9.742384 5.272089 1.029259 -1.128804 0.180633
0.498307 4.196099 9.841146 6.127163 0.932983 -1.405993 0.132131
0.508433 4.713302 9.802161 6.127163 0.918432 -1.620372 0.100120
0.518546 4.183104 9.703398 6.218128 0.904609 -1.859002 0.019364
0.528654 5.100554 9.160206 6.982237 0.773169 -2.058830 0.029549
0.538814 5.836074 9.061443 8.180379 0.689988 -2.347660 0.001418
0.548939 6.860083 8.526048 9.017260 0.567763 -2.667045 0.012816
0.559066 8.125800 7.577409 10.392136 0.374725 -3.137273 0.021304
0.569192 9.001666 7.790528 11.099066 0.117664 -3.707656 0.039735
0.579314 9.035453 7.946469 11.613670 -0.119753 -4.317327 -0.017740
0.589418 8.783349 7.767137 12.972951 -0.350623 -4.815927 -0.077883
0.599539 8.481864 8.128399 12.918372 -0.530566 -5.542973 -0.049509
0.609650 6.969241 8.079018 13.199065 -0.595801 -6.085953 -0.084673
0.619783 5.895851 7.210949 13.438174 -0.735487 -6.715509 -0.150636
0.629903 3.863426 6.413054 13.882604 -0.854802 -7.248789 -0.278438
0.640008 2.595110 6.020603 13.445971 -1.006128 -7.689914 -0.393631
0.650127 1.958353 6.064786 12.289412 -1.216384 -8.209371 -0.474872
0.660266 1.545111 6.675553 10.755997 -1.400207 -8.542822 -0.641719
0.670425 0.968131 8.297335 8.614414 -1.610463 -8.667958 -0.650691
0.680727 0.638057 9.958101 6.698945 -1.660905 -8.669413 -0.637353
0.690862 -1.160457 10.602655 6.465034 -1.470777 -8.668928 -0.648751
0.700995 -2.519739 9.690403 6.301296 -1.263431 -8.667958 -0.328396
0.711117 -3.580134 9.656616 5.916643 -1.287197 -7.488631 -0.113047
0.721227 -4.183104 9.828151 4.697708 -1.264159 -6.841857 0.071261
0.731371 -4.541767 10.228398 3.642511 -1.123988 -5.681446 0.437936
0.741480 -3.577535 9.981492 2.582115 -1.076941 -4.661933 0.712458
0.751593 -1.898576 10.724809 1.269616 -1.080093 -4.008854 0.941145
0.761721 -0.903155 10.930131 1.074690 -1.020921 -3.609197 1.013898
0.771848 -0.869368 10.828769 0.788799 -0.930950 -3.303392 1.024326
0.781992 -0.703032 10.355750 0.705631 -0.853589 -3.084648 0.991344
0.792136 -0.385953 10.069859 1.090284 -0.795872 -2.856203 0.895068
0.802285 -0.050681 10.192012 1.706249 -0.720451 -2.767930 0.821830
0.812470 0.263799 10.555873 2.267635 -0.641635 -2.778358 0.765810
0.822577 0.596472 10.579264 2.597709 -0.578097 -2.925319 0.669776
0.832698 0.669245 10.397334 3.070729 -0.481821 -3.116902 0.584655
0.842783 0.809591 10.275180 3.528154 -0.407855 -3.396758 0.475525
0.852895 0.718626 10.446715 3.897213 -0.398155 -3.674675 0.358878
0.863027 0.240408 10.524685 4.138921 -0.347955 -3.939981 0.262359
0.873155 -0.245606 10.883348 4.099936 -0.299453 -4.093490 0.177723
0.883295 -0.404146 10.771591 4.146718 -0.212150 -4.188069 0.095027
0.893427 -0.710829 10.831368 4.294862 -0.105445 -4.264702 0.018879
0.903550 -1.438551 10.714413 4.201297 -0.038998 -4.312234 -0.036898
0.913663 -2.239046 10.927532 4.502782 0.029148 -4.314174 -0.050479
0.923819 -2.537932 10.784586 4.851049 0.116936 -4.217412 -0.039323
0.933950 -2.696471 10.698819 4.913426 0.190902 -4.057113 0.005056
0.944046 -2.569120 10.355750 4.827658 0.261957 -3.960837 0.037310
0.954171 -2.527536 10.119240 4.926421 0.270688 -3.855102 0.065198
0.964298 -2.727659 10.030874 4.910827 0.263898 -3.689468 0.070534
0.974412 -2.587313 10.059463 4.968005 0.257107 -3.522864 0.087752
0.984530 -2.800432 9.939908 5.084960 0.210545 -3.321095 0.079506
0.994645 -3.078526 9.654017 5.337064 0.158163 -3.161766 0.048950
1.004782 -3.728278 9.537062 5.305876 0.130032 -2.989826 0.047495
1.014925 -3.912807 9.230379 5.480010 0.120574 -2.740284 0.080476
1.025050 -3.715283 8.676790 5.207114 0.048549 -2.497773 0.052588
1.035271 -3.413798 8.427285 5.347460 -0.028570 -2.333594 -0.002947
1.045403 -3.520357 8.585825 5.303277 -0.089925 -2.198516 -0.050236
1.055539 -3.881619 8.533845 5.485208 -0.126301 -2.076533 -0.125900
1.065675 -4.365035 8.253152 5.726915 -0.151522 -1.895378 -0.185315
1.075806 -4.250679 8.014043 5.633351 -0.221123 -1.730957 -0.277468
1.085933 -4.222089 7.969860 5.880257 -0.307214 -1.571627 -0.350949
1.096113 -4.164911 7.969860 6.262311 -0.360081 -1.453282 -0.414002
1.106244 -2.909590 8.497459 4.960208 -0.387485 -1.378347 -0.459593
1.116397 -3.759466 8.741765 5.513797 -0.450295 -1.535251 -0.538894
1.126557 -4.541767 8.175181 6.769118 -0.521835 -0.837307 -0.518766
1.136690 -4.559961 7.639786 6.631370 -0.690865 -0.983540 -0.551990
1.146824 -1.617883 7.702162 6.446841 -0.982604 -0.602315 -0.559265
1.156955 5.979019 9.077037 5.503401 -1.266099 -0.567151 -0.298082
1.167076 5.724316 12.642877 3.660704 -1.465684 -0.178892 0.079506
1.177199 3.834837 15.371836 2.254640 -0.880508 -0.514526 -0.125657
1.187323 2.116892 12.013917 5.295480 -0.368569 -0.584369 -0.265100
1.197447 -1.313799 9.183597 5.932237 -0.271322 -0.569818 -0.217568
1.207568 -3.460580 8.643003 4.430010 -0.337042 -0.579761 -0.302447
1.217690 -0.760210 8.988671 1.781620 -0.546086 -0.377023 -0.200835
1.227811 1.178650 10.571467 1.828403 -0.721663 -0.134998 -0.156456
1.237933 -0.697834 11.369363 1.789417 -0.661763 -0.171617 -0.104559
1.248057 -1.984343 10.828769 1.027908 -0.531293 -0.140090 -0.036898
1.258184 -1.228032 9.984091 0.544492 -0.492976 0.140736 0.024699
1.268308 -0.349567 9.744983 1.012314 -0.604046 0.237013 0.080476
1.278435 -0.076671 9.867136 2.444368 -0.787626 0.237498 0.057923
1.288574 0.058478 10.085453 3.512560 -0.774773 0.214217 0.075626
1.298714 0.570482 9.908720 4.055753 -0.683104 0.239680 0.114670
